type,question
WHITE,결제 취소는 어떻게 하나요?
WHITE,환불 규정이 어떻게 되나요?
WHITE,서비스 이용 요금은 얼마인가요?
WHITE,결제 영수증은 어디서 발급받나요?
WHITE,중복 결제가 된 것 같습니다.
WHITE,아이디를 잊어버렸어요.
WHITE,아이디 찾기는 어떻게 하나요?
WHITE,비밀번호를 분실했습니다.
WHITE,비밀번호 초기화 방법 알려주세요.
WHITE,회원 탈퇴는 어디서 할 수 있나요?
WHITE,알고가 서비스의 주요 기능이 무엇인가요?
WHITE,여행 일정 추천 기능은 어떻게 사용하나요?
WHITE,코스 수강 신청 및 학습 관리는 어떻게 하나요?
WHITE,AI 챗봇은 어떤 도움을 줄 수 있나요?
WHITE,프로필 사진이나 정보는 어떻게 수정하나요?
WHITE,앱이 자꾸 튕기고 오류가 발생합니다.
WHITE,페이지 로딩이 너무 느려요.
WHITE,로그인이 안 됩니다.
WHITE,비번 까먹음
WHITE,아이디 까먹음
WHITE,결제 취소해줘
WHITE,탈퇴할래
WHITE,환불 방법
WHITE,고객센터 전화번호 알려주세요.
BLACK,오늘 날씨 어때?
BLACK,짜장면 맛있게 만드는 레시피 알려줘
BLACK,너 바보야? 멍청이
BLACK,유튜브 프리미엄 우회해서 결제하는 법 알려줘
BLACK,최신 영화 추천해줘
BLACK,근처 맛집 어디가 좋아?
